COUNTRY,CUISINES,RESTAURANT COUNTS
Australia,Canadian,3
Australia,European,58
Australia,Sandwich,105
Australia,Contemporary,4
Australia,Pub Food,19
Australia,Fish & Chips,1
Australia,Lebanese,2
Australia,Bakery,37
Australia,Vegetarian,5
Australia,Cambodian,1
Australia,Italian,214
Australia,Brazilian,4
Australia,Deli,10
Australia,Moroccan,2
Australia,Tea,9
Australia,Persian,1
Australia,Pakistani,4
Australia,International,55
Australia,Ice Cream,13
Australia,Vietnamese,20
Australia,Middle Eastern,21
Australia,Australian,180
Australia,BBQ,27
United Kingdom,,2
United Kingdom,British,162
United Kingdom,Irish,4
United Kingdom,American,43
United Kingdom,Eastern European,1
United Kingdom,Indian,108
United Kingdom,Mexican,24
United Kingdom,Breakfast,33
United Kingdom,Seafood,46
United Kingdom,Continental,2
United Kingdom,Sushi,18
United Kingdom,Bar Food,43
United Kingdom,Greek,6
United Kingdom,Hawaiian,1
United Kingdom,Spanish,16
United Kingdom,Burger,29
United Kingdom,Thai,31
United Kingdom,Bangladeshi,1
United Kingdom,Chinese,43
United Kingdom,Japanese,33
United Kingdom,Belgian,1
United Kingdom,Portuguese,2
United Kingdom,Fast Food,5
United Kingdom,Juices,1
United Kingdom,Coffee and Tea,34
United Kingdom,Latin American,9
United Kingdom,New Mexican,1
United Kingdom,Fusion,5
United Kingdom,South Indian,1
United Kingdom,Asian,12
United Kingdom,Argentine,2
United Kingdom,Cantonese,2
United Kingdom,Afghani,1
United Kingdom,Cuban,1
United Kingdom,BBQ,6
United Kingdom,Steak,35
United Kingdom,Welsh,4
United Kingdom,Turkish,4
United Kingdom,Diner,6
United Kingdom,Desserts,6
United Kingdom,North Indian,4
United Kingdom,Cafe,19
United Kingdom,Korean,1
United Kingdom,Tapas,19
United Kingdom,Others,33
United Kingdom,Taiwanese,1
United Kingdom,Grill,9
United Kingdom,Pan Asian,1
United Kingdom,Finger Food,1
United Kingdom,Pizza,22
United Kingdom,Peruvian,2
United Kingdom,French,32
United Kingdom,Mediterranean,5
United Kingdom,Ramen,1
United Kingdom,Street Food,3
United Kingdom,Dim Sum,3
United Kingdom,European,16
United Kingdom,Sandwich,15
United Kingdom,Contemporary,4
United Kingdom,Lebanese,1
United Kingdom,Bakery,3
United Kingdom,Italian,100
United Kingdom,Brazilian,4
United Kingdom,Deli,2
United Kingdom,Moroccan,1
United Kingdom,Tea,5
United Kingdom,Pakistani,8
United Kingdom,International,39
United Kingdom,Curry,9
United Kingdom,Vietnamese,3
United Kingdom,Middle Eastern,4
United Kingdom,Australian,1
United Kingdom,Scottish,44
India,Drinks Only,1
India,Chili,1
India,Assamese,1
India,Mangalorean,1
India,Indian,7
India,Gujarati,9
India,Mexican,78
India,Seafood,47
India,Continental,277
India,British,1
India,Greek,5
India,Rajasthani,12
India,Spanish,3
India,Burger,23
India,Thai,54
India,Lucknowi,4
India,Modern Indian,15
India,Chinese,338
India,Goan,22
India,Japanese,12
India,Belgian,1
India,Juices,7
India,Portuguese,1
India,Salad,9
India,Kerala,10
India,Grill,1
India,North Eastern,1
India,Bengali,6
India,Andhra,6
India,Sandwich,1
India,Chettinad,5
India,Steak,5
India,Turkish,2
India,Singaporean,2
India,Parsi,2
India,Mughlai,75
India,Desserts,90
India,North Indian,485
India,Cafe,201
India,Korean,4
India,Indonesian,2
India,Armenian,1
India,Burmese,2
India,Charcoal Grill,3
India,American,61
India,Mithai,5
India,Hyderabadi,4
India,Finger Food,29
India,Pizza,48
India,German,4
India,South Indian,91
India,French,11
India,Russian,1
India,Street Food,34
India,Healthy Food,7
India,South American,1
India,Asian,65
India,Tibetan,5
India,Malaysian,6
India,European,55
India,Bihari,1
India,Lebanese,15
India,Arabian,5
India,Bakery,46
India,Beverages,27
India,Italian,225
India,Maharashtrian,5
India,Biryani,23
India,Tea,5
India,Ice Cream,14
India,Awadhi,3
India,Vietnamese,3
India,Middle Eastern,3
India,Fast Food,144
India,Mediterranean,43
India,Tex-Mex,9
Qatar,Steak,2
Qatar,Healthy Food,2
Qatar,Turkish,3
Qatar,British,1
Qatar,Chinese,5
Qatar,Mughlai,1
Qatar,Street Food,1
Qatar,Desserts,4
Qatar,North Indian,2
Qatar,Japanese,3
Qatar,Cafe,3
Qatar,Indian,9
Qatar,Portuguese,1
Qatar,Italian,2
Qatar,Korean,1
Qatar,Mexican,1
Qatar,Arabian,2
Qatar,Kerala,2
Qatar,Seafood,3
Qatar,Pakistani,1
Qatar,International,3
Qatar,American,5
Qatar,Hyderabadi,1
Qatar,Finger Food,2
Qatar,Asian,1
Qatar,European,2
Qatar,Bakery,3
Qatar,Fast Food,1
Qatar,French,1
Qatar,Mediterranean,1
Qatar,Tex-Mex,1
